Symbol,HighFortyFive,LowFortyFive,AverageValue
ACC,2658.0,2601.8,24.182857142857106
AUBANK,594.7,589.25,5.5000000000000036
ADANIENSOL,1103.2,1090.0,20.23857142857142
ADANIENT,3272.75,3255.0,29.965714285714267
ADANIGREEN,1896.95,1880.1,33.19571428571432
ADANIPORTS,1406.0,1398.35,11.940000000000035
ATGL,979.4,974.0,18.9657142857143
ABCAPITAL,204.5,199.55,1.9214285714285746
ABFRL,237.3,235.0,2.6228571428571423
ALKEM,4970.65,4935.1,65.4542857142857
AMBUJACEM,637.1,623.6,5.070000000000005
APOLLOHOSP,6425.3,6410.0,63.621428571428496
APOLLOTYRE,474.0,466.8,5.001428571428575
ASHOKLEY,177.15,176.1,1.2757142857142834
ASIANPAINT,2877.5,2870.65,21.13714285714277
ASTRAL,2061.0,2043.75,21.24571428571431
AUROPHARMA,1105.95,1094.05,13.918571428571434
DMART,4426.3,4400.05,43.83285714285713
AXISBANK,1052.95,1042.95,7.878571428571455
BAJAJ-AUTO,9310.0,9239.0,90.39857142857147
BAJFINANCE,7223.45,7190.1,49.084285714285684
BAJAJFINSV,1661.8,1652.2,13.088571428571452
BALKRISIND,2341.95,2327.25,21.344285714285693
BANDHANBNK,193.6,192.6,1.9314285714285704
BANKBARODA,271.95,270.05,2.3014285714285676
BANKINDIA,141.1,140.15,2.0342857142857125
BERGEPAINT,574.0,568.8,5.492857142857153
BDL,1757.95,1740.1,27.217142857142882
BEL,222.15,220.35,2.178571428571428
BHARATFORG,1156.95,1152.4,14.231428571428582
BHEL,252.8,251.65,3.595714285714283
BPCL,617.75,614.9,8.737142857142862
BHARTIARTL,1210.0,1205.05,10.058571428571433
BIOCON,270.65,269.45,3.162857142857147
BOSCHLTD,30999.95,30801.95,250.7357142857146
BRITANNIA,4908.05,4880.0,39.854285714285574
CGPOWER,519.9,516.2,8.155714285714284
CANBK,595.2,592.9,5.108571428571428
CHOLAFIN,1201.0,1191.15,13.59428571428572
CIPLA,1492.3,1485.0,12.555714285714307
COALINDIA,443.85,442.55,4.645714285714287
COFORGE,5568.7,5540.0,75.47428571428573
COLPAL,2790.0,2777.6,23.280000000000005
CONCOR,918.5,915.0,10.294285714285715
COROMANDEL,1135.0,1129.9,10.418571428571445
CROMPTON,280.5,279.25,2.9257142857142835
CUMMINSIND,3042.4,3021.35,30.1642857142857
DLF,937.45,932.9,8.338571428571436
DABUR,532.5,530.8,3.4914285714285827
DALBHARAT,2041.5,1972.95,23.051428571428545
DEEPAKNTR,2208.0,2196.2,20.28142857142853
DELHIVERY,451.0,449.6,7.987142857142854
DIVISLAB,3632.0,3608.5,28.639999999999965
DIXON,7950.0,7843.0,74.0057142857143
LALPATHLAB,2280.9,2270.0,28.43428571428569
DRREDDY,6243.05,6221.5,52.09857142857137
EICHERMOT,3933.0,3914.3,41.66285714285718
ESCORTS,2877.95,2870.0,26.144285714285708
FEDERALBNK,154.2,153.5,1.4042857142857137
FACT,676.85,673.3,13.49
FORTIS,429.0,425.55,5.948571428571423
GAIL,183.55,182.6,1.7742857142857116
GODREJCP,1210.05,1206.4,12.452857142857166
GODREJPROP,2502.9,2487.15,25.258571428571383
GRASIM,2316.0,2294.3,18.315714285714247
GUJGASLTD,542.85,539.15,7.738571428571426
HCLTECH,1532.45,1525.1,16.055714285714295
HDFCAMC,3767.15,3744.2,42.33857142857141
HDFCBANK,1483.3,1478.25,7.878571428571448
HDFCLIFE,632.85,631.2,5.515714285714288
HAVELLS,1546.15,1542.05,15.932857142857165
HEROMOTOCO,4568.0,4557.0,51.144285714285616
HINDALCO,572.3,570.0,5.428571428571427
HAL,3554.0,3525.8,35.15571428571427
HINDPETRO,484.7,477.05,7.69714285714286
HINDUNILVR,2287.75,2282.0,12.902857142857192
ICICIBANK,1083.95,1079.25,6.077142857142858
ICICIGI,1694.8,1683.45,17.734285714285708
ICICIPRULI,626.7,622.0,6.767142857142848
IDFCFIRSTB,79.4,78.9,0.588571428571428
ITC,426.4,424.9,2.5957142857142816
INDHOTEL,607.4,603.2,5.541428571428573
IOC,174.5,173.85,2.1757142857142857
IRCTC,1007.9,1001.25,9.719999999999999
IRFC,146.45,145.9,3.841428571428571
IGL,445.0,441.9,4.518571428571426
INDUSTOWER,307.1,303.65,4.177142857142855
INDUSINDBK,1560.0,1555.4,10.491428571428585
NAUKRI,5680.0,5645.0,67.9485714285714
INFY,1484.0,1480.85,12.25857142857144
IPCALAB,1240.0,1225.3,14.002857142857147
JSWENERGY,543.0,540.65,7.65571428571428
JSWSTEEL,881.85,872.5,7.872857142857135
JINDALSTEL,900.0,887.2,9.56714285714286
JUBLFOOD,460.0,457.3,4.997142857142853
KPITTECH,1527.45,1501.0,27.744285714285738
KOTAKBANK,1761.15,1754.45,11.090000000000016
L&TFH,167.1,166.0,1.6371428571428566
LTTS,5625.85,5566.45,52.707142857142834
LICHSGFIN,641.65,636.35,5.224285714285718
LTIM,4917.95,4890.0,43.378571428571405
LT,3814.85,3794.15,23.91285714285715
LAURUSLABS,416.0,414.6,3.9342857142857173
LICI,1001.8,992.05,11.472857142857167
LUPIN,1611.0,1608.3,14.3057142857143
LODHA,1182.9,1160.15,25.72714285714287
M&MFIN,298.5,294.85,3.239999999999996
M&M,1976.8,1966.2,20.697142857142865
MARICO,499.9,496.5,3.572857142857148
MFSL,1016.5,1010.3,12.372857142857148
MAXHEALTH,825.0,819.15,16.228571428571435
MAZDOCK,1999.9,1990.1,29.647142857142892
MPHASIS,2472.0,2465.0,29.351428571428563
MUTHOOTFIN,1567.7,1557.1,18.50285714285718
NHPC,92.45,92.0,2.054285714285716
NMDC,216.45,215.2,2.8799999999999977
NTPC,345.2,343.85,3.359999999999997
NAVINFLUOR,3165.9,3142.5,25.734285714285697
NESTLEIND,2630.0,2618.0,19.60285714285713
OBEROIRLTY,1560.95,1547.75,17.330000000000005
ONGC,272.95,272.0,2.6885714285714277
OIL,635.0,624.95,13.684285714285721
PERSISTENT,3982.8,3962.1,82.9442857142859
PETRONET,273.5,271.85,2.6457142857142846
PIDILITIND,3012.25,2993.2,27.817142857142816
PEL,865.7,861.2,9.841428571428583
POLYCAB,5214.55,5185.5,40.439999999999785
POONAWALLA,475.9,472.35,5.784285714285714
PFC,408.45,405.75,4.955714285714272
POWERGRID,280.0,278.9,3.6471428571428532
PNB,127.0,126.2,1.0742857142857134
RECLTD,465.75,462.45,5.958571428571431
RVNL,264.8,263.9,6.137142857142855
RELIANCE,2979.0,2960.8,16.674285714285684
SBICARD,692.95,691.4,4.485714285714289
SBILIFE,1473.0,1468.65,13.965714285714277
SRF,2629.0,2616.0,20.742857142857144
MOTHERSON,121.5,120.7,1.258571428571428
SHREECEM,26722.6,26090.1,211.0176470588236
SHRIRAMFIN,2471.3,2459.65,30.34285714285713
SIEMENS,5599.0,5546.5,45.60000000000002
SBIN,768.75,763.7,4.7242857142857275
SAIL,148.2,146.8,1.9657142857142835
SUNPHARMA,1628.0,1609.9,11.651428571428577
SUNTV,617.85,614.05,6.784285714285716
SYNGENE,726.0,721.05,6.855714285714294
TVSMOTOR,2165.0,2146.1,23.127142857142857
TATACHEM,1096.45,1091.5,15.340000000000028
TATACOMM,2083.0,2069.4,17.241428571428585
TCS,3896.4,3878.4,34.71142857142858
TATACONSUM,1133.4,1123.6,12.320000000000007
TATAELXSI,7709.95,7694.05,93.8557142857142
TATAMTRDVR,666.35,663.6,6.665714285714285
TATAMOTORS,1006.9,1003.05,8.931428571428569
TATAPOWER,409.5,408.25,4.099999999999995
