Symbol,timeframe
ACC,5m
APLAPOLLO,5m
ADANIENSOL,5m
ADANIPORTS,5m
ATGL,5m
AWL,5m
ABCAPITAL,5m
ABFRL,5m
AMBUJACEM,5m
DMART,5m
BANDHANBNK,5m
BEL,5m
BHEL,5m
BIOCON,5m
CROMPTON,5m
DELHIVERY,5m
FACT,5m
FORTIS,5m
GRASIM,5m
HCLTECH,5m
HDFCAMC,5m
HDFCBANK,5m
HDFCLIFE,5m
HEROMOTOCO,5m
HINDALCO,5m
ICICIBANK,5m
ICICIPRULI,5m
IDFCFIRSTB,5m
ITC,5m
IRCTC,5m
IGL,5m
NAUKRI,5m
JINDALSTEL,5m
LT,5m
LICI,5m
M&MFIN,5m
MANKIND,5m
MPHASIS,5m
NMDC,5m
OBEROIRLTY,5m
PIDILITIND,5m
PEL,5m
SBICARD,5m
SBILIFE,5m
SRF,5m
MOTHERSON,5m
SUNTV,5m
TATACONSUM,5m
TATAPOWER,5m
RAMCOCEM,5m
UPL,5m
UBL,5m
EXIDEIND,5m
NIACL,5m
DELTACORP,5m
IEX,5m
BALRAMCHIN,5m
