Symbol,HighFortyFive,LowFortyFive,AverageValue,ScripCode,high,low,close,Pivot,Bottom Central,Top Central,TradeType,TradingEnabled,Risk,TimeFrame,USE_TWENTY_MA,USE_TWO_HUNDRED_MA,CHECK_GAP_CONDITION,USE_CPR,USE_FORTYFIVE,USE_PREVIOUSDAY_HIGH_LOW,USE_BOSS,USE_MANAGER,USE_WORKER,TargetBossPercentage ,REWARD_MULTIPLIER_WORKER,REWARD_MULTIPLIER_MANAGER,WORKER_CANDLE_MUL,BOSS_CANDLE_MUL,MANAGER_CANDLE_MUL_DOWN,MANAGER_CANDLE_MUL_UP,NoOfCounterTrade,USE_PARTIAL_PROFIT,PartialProfitPercentage_qty_size,PartProfitMultipler,USE_CLOSING_CRITERIA_BOSS,ClosePercentage_BOSS,USE_TSL,StartTime,StopTime
ACC,2626,2611.5,24.03428571,22,2666.7,2590.1,2622.7,2626.5,2628.4,2624.6,BOTH,TRUE,1000,1m,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,3,1,1,3,2,1,TRUE,50,1,TRUE,70,,,09:20,15:00
APLAPOLLO,1561.3,1543.05,18.91857143,25780,1610,1543.05,1550,1567.683333,1576.525,1558.841667,BUY,TRUE,1000,5m,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,1106.1,1096,19.91857143,10217,1119,1082.2,1101,1100.733333,1100.6,1100.866667,SELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,1375.6,1362.25,11.77571429,15083,1408.6,1362.25,1369.6,1380.15,1385.425,1374.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATGL,989.5,982.7,18.49857143,6066,996.4,980.1,983.9,986.8,988.25,985.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWL,356.6,354,4.957142857,8110,358.8,352.05,354.3,355.05,355.425,354.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,206.5,205.05,1.974285714,21614,208.7,203.55,206,206.0833333,206.125,206.0416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFRL,237.5,236.75,2.575714286,30108,238.8,234.05,237.4,236.75,236.425,237.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,627.5,624,5.011428571,1270,640.8,623.6,625,629.8,632.2,627.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMART,4658.95,4622.6,45.22285714,19913,4715,4540,4636,4630.333333,4627.5,4633.166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,199,197.05,1.817142857,2263,199.65,191.95,198.85,196.8166667,195.8,197.8333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,220.75,220,2.23,383,223.9,218.25,220.55,220.9,221.075,220.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHEL,252,250.5,3.45,438,256.9,247.45,251.8,252.05,252.175,251.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOCON,271.4,269.8,3.067142857,11373,274.85,269.2,270.7,271.5833333,272.025,271.1416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROMPTON,281.5,279.75,2.984285714,17094,282.9,278.5,281,280.8,280.7,280.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELHIVERY,462,458.2,7.922857143,9599,462,448,462,457.3333333,455,459.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACT,703.5,695,13.21714286,1008,709.4,695,696.05,700.15,702.2,698.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTIS,426.2,424.8,5.855714286,14592,428.2,422.35,425.5,425.35,425.275,425.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,2285,2269.45,17.51857143,1232,2323.75,2249.5,2285,2286.083333,2286.625,2285.541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,1550.65,1536.35,16.07714286,7229,1552.5,1518.7,1540,1537.066667,1535.6,1538.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCAMC,3710,3690,42.38571429,4244,3758,3690,3705,3717.666667,3724,3711.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,1530,1524.35,8.034285714,1333,1530,1504,1528.3,1520.766667,1517,1524.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,624.5,622,5.374285714,467,626.5,618.1,622.3,622.3,622.3,622.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEROMOTOCO,4534.7,4515.7,45.16714286,1348,4590,4462.75,4527,4526.583333,4526.375,4526.791667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDALCO,581.2,576.85,5.031428571,1363,590,568.95,578,578.9833333,579.475,578.4916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,1081.85,1075.95,6.471428571,4963,1085.8,1063.45,1080.55,1076.6,1074.625,1078.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIPRULI,609.4,602.55,6.705714286,18652,621,602.55,608.5,610.6833333,611.775,609.5916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,79.65,79.3,0.584285714,11184,80.1,78.55,79.6,79.41666667,79.325,79.50833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,423.7,422.05,2.541428571,1660,427.35,419.9,423.1,423.45,423.625,423.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,1001.9,996.5,9.885714286,13611,1022.5,994.05,999.95,1005.5,1008.275,1002.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGL,437.8,436.05,4.411428571,11262,445,434.5,437.6,439.0333333,439.75,438.3166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
