Symbol,Datetime,ScripCode,high,low,close,Pivot,Bottom Central,Top Central
ACC,2024-04-04 09:15:00,22,2666.7,2590.1,2622.7,2626.4999999999995,2628.3999999999996,2624.5999999999995
APLAPOLLO,2024-04-04 09:15:00,25780,1610.0,1543.05,1550.0,1567.6833333333334,1576.525,1558.8416666666667
ADANIENSOL,2024-04-04 09:15:00,10217,1119.0,1082.2,1101.0,1100.7333333333333,1100.6,1100.8666666666668
ADANIPORTS,2024-04-04 09:15:00,15083,1408.6,1362.25,1369.6,1380.1499999999999,1385.425,1374.8749999999998
ATGL,2024-04-04 09:15:00,6066,996.4,980.1,983.9,986.8000000000001,988.25,985.3500000000001
AWL,2024-04-04 09:15:00,8110,358.8,352.05,354.3,355.05,355.425,354.675
ABCAPITAL,2024-04-04 09:15:00,21614,208.7,203.55,206.0,206.08333333333334,206.125,206.04166666666669
ABFRL,2024-04-04 09:15:00,30108,238.8,234.05,237.4,236.75,236.425,237.075
AMBUJACEM,2024-04-04 09:15:00,1270,640.8,623.6,625.0,629.8000000000001,632.2,627.4000000000001
DMART,2024-04-04 09:15:00,19913,4715.0,4540.0,4636.0,4630.333333333333,4627.5,4633.166666666666
BANDHANBNK,2024-04-04 09:15:00,2263,199.65,191.95,198.85,196.8166666666667,195.8,197.83333333333337
BEL,2024-04-04 09:15:00,383,223.9,218.25,220.55,220.9,221.075,220.72500000000002
BHEL,2024-04-04 09:15:00,438,256.9,247.45,251.8,252.04999999999998,252.17499999999998,251.92499999999998
BIOCON,2024-04-04 09:15:00,11373,274.85,269.2,270.7,271.5833333333333,272.025,271.14166666666665
CROMPTON,2024-04-04 09:15:00,17094,282.9,278.5,281.0,280.8,280.7,280.90000000000003
DELHIVERY,2024-04-04 09:15:00,9599,462.0,448.0,462.0,457.3333333333333,455.0,459.66666666666663
FACT,2024-04-04 09:15:00,1008,709.4,695.0,696.05,700.15,702.2,698.0999999999999
FORTIS,2024-04-04 09:15:00,14592,428.2,422.35,425.5,425.34999999999997,425.275,425.42499999999995
GRASIM,2024-04-04 09:15:00,1232,2323.75,2249.5,2285.0,2286.0833333333335,2286.625,2285.541666666667
HCLTECH,2024-04-04 09:15:00,7229,1552.5,1518.7,1540.0,1537.0666666666666,1535.6,1538.5333333333333
HDFCAMC,2024-04-04 09:15:00,4244,3758.0,3690.0,3705.0,3717.6666666666665,3724.0,3711.333333333333
HDFCBANK,2024-04-04 09:15:00,1333,1530.0,1504.0,1528.3,1520.7666666666667,1517.0,1524.5333333333333
HDFCLIFE,2024-04-04 09:15:00,467,626.5,618.1,622.3,622.3,622.3,622.3
HEROMOTOCO,2024-04-04 09:15:00,1348,4590.0,4462.75,4527.0,4526.583333333333,4526.375,4526.791666666666
HINDALCO,2024-04-04 09:15:00,1363,590.0,568.95,578.0,578.9833333333333,579.475,578.4916666666667
ICICIBANK,2024-04-04 09:15:00,4963,1085.8,1063.45,1080.55,1076.6000000000001,1074.625,1078.5750000000003
ICICIPRULI,2024-04-04 09:15:00,18652,621.0,602.55,608.5,610.6833333333333,611.775,609.5916666666666
IDFCFIRSTB,2024-04-04 09:15:00,11184,80.1,78.55,79.6,79.41666666666666,79.32499999999999,79.50833333333333
ITC,2024-04-04 09:15:00,1660,427.35,419.9,423.1,423.45,423.625,423.275
IRCTC,2024-04-04 09:15:00,13611,1022.5,994.05,999.95,1005.5,1008.275,1002.725
IGL,2024-04-04 09:15:00,11262,445.0,434.5,437.6,439.0333333333333,439.75,438.3166666666666
NAUKRI,2024-04-04 09:15:00,13751,5747.9,5617.7,5626.0,5663.866666666666,5682.799999999999,5644.9333333333325
JINDALSTEL,2024-04-04 09:15:00,6733,915.0,898.6,903.6,905.7333333333332,906.8,904.6666666666665
LT,2024-04-04 09:15:00,11483,3819.75,3731.05,3810.0,3786.933333333333,3775.4,3798.466666666666
LICI,2024-04-04 09:15:00,9480,1016.35,991.95,1006.55,1004.9500000000002,1004.1500000000001,1005.7500000000002
M&MFIN,2024-04-04 09:15:00,13285,298.3,291.95,294.95,295.06666666666666,295.125,295.0083333333333
MANKIND,2024-04-04 09:15:00,15380,2374.5,2295.0,2330.0,2333.1666666666665,2334.75,2331.583333333333
MPHASIS,2024-04-04 09:15:00,4503,2528.95,2476.5,2523.85,2509.7666666666664,2502.725,2516.808333333333
NMDC,2024-04-04 09:15:00,15332,220.7,212.95,217.3,216.98333333333335,216.825,217.1416666666667
OBEROIRLTY,2024-04-04 09:15:00,20242,1544.7,1522.05,1535.0,1533.9166666666667,1533.375,1534.4583333333335
PIDILITIND,2024-04-04 09:15:00,2664,3024.5,2992.1,3003.0,3006.5333333333333,3008.3,3004.7666666666664
PEL,2024-04-04 09:15:00,2412,869.75,855.0,858.5,861.0833333333334,862.375,859.7916666666667
SBICARD,2024-04-04 09:15:00,17971,702.8,693.05,694.95,696.9333333333334,697.925,695.9416666666668
SBILIFE,2024-04-04 09:15:00,21808,1475.05,1447.0,1465.0,1462.3500000000001,1461.025,1463.6750000000002
SRF,2024-04-04 09:15:00,3273,2637.5,2583.6,2600.0,2607.0333333333333,2610.55,2603.5166666666664
MOTHERSON,2024-04-04 09:15:00,4204,123.3,118.6,119.85,120.58333333333333,120.94999999999999,120.21666666666667
SUNTV,2024-04-04 09:15:00,13404,628.0,614.95,618.0,620.3166666666667,621.475,619.1583333333334
TATACONSUM,2024-04-04 09:15:00,3432,1132.9,1108.55,1121.2,1120.8833333333332,1120.725,1121.0416666666665
TATAPOWER,2024-04-04 09:15:00,3426,419.85,410.7,414.2,414.9166666666667,415.275,414.5583333333334
RAMCOCEM,2024-04-04 09:15:00,2043,860.55,837.0,841.7,846.4166666666666,848.775,844.0583333333333
UPL,2024-04-04 09:15:00,11287,496.75,473.1,496.0,488.6166666666666,484.925,492.3083333333332
UBL,2024-04-04 09:15:00,16713,1812.0,1774.15,1781.55,1789.2333333333333,1793.075,1785.3916666666667
EXIDEIND,2024-04-04 09:15:00,676,323.95,315.0,319.95,319.6333333333334,319.475,319.79166666666674
NIACL,2024-04-04 09:15:00,399,245.8,234.2,238.55,239.51666666666665,240.0,239.0333333333333
DELTACORP,2024-04-04 09:15:00,15044,126.45,123.55,124.0,124.66666666666667,125.0,124.33333333333334
IEX,2024-04-04 09:15:00,220,147.8,144.55,145.3,145.88333333333335,146.175,145.5916666666667
BALRAMCHIN,2024-04-04 09:15:00,341,388.75,380.95,384.85,384.8500000000001,384.85,384.85000000000014
